,urunKod,urunAdı,listeFiyatı,kdvOran,marka,kategori,menşei,created_id
50,51,KOMİLİ EGE SIZMA ZEYTİNYAĞI 2 L ,58.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
51,52,KOMİLİ EGE SIZMASI ZEYTİNYAĞI 5 L TENEKE ,117.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
52,53,KOMİLİ ERKEN HASAT ZEYTİNYAĞI 500 ML ,34.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
53,54,KOMİLİ FİLTRESİZ NATUREL SIZMA ZEYTİNYAĞI 500 ML ,34.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
54,55,KOMİLİ RİVİERA ZEYTİNYAĞI 1 L ,28.5,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
55,56,KOMİLİ RİVİERA ZEYTİNYAĞI 2 L ,53.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
56,57,KOMİLİ RİVİERA ZEYTİNYAĞI 3 L ,76.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
57,58,KOMİLİ RİVİERA ZEYTİNYAĞI 5 L TENEKE ,99.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
58,59,KOMİLİ RİVİERA ZEYTİNYAĞI 500 ML (PET ŞİŞE) ,16.45,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
59,60,KOMİLİ SIZMA ZEYTİNYAĞI 1 L ,34.5,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
60,61,KOMİLİ SIZMA ZEYTİNYAĞI 2 L ,61.5,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
61,62,KOMİLİ SIZMA ZEYTİNYAĞI 3 L ,85.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
62,63,KOMİLİ SIZMA ZEYTİNYAĞI 5 L TENEKE ,124.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
63,64,KOMİLİ SOĞUK SIKMA ZEYTİNYAĞI 500 ML ,34.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
64,65,KOMİLİ TAŞ BASKI ZEYTİNYAĞI 500 ML ,34.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
65,66,KRİSTAL MERAKLISINA ÖZEL SIZMA ZEYTİNYAĞI 500 ML ,32.9,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
66,67,KRİSTAL RİVİERA ZEYTİNYAĞI 1 L ( CAM ŞİŞE ) ,25.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
67,68,KRİSTAL RİVİERA ZEYTİNYAĞI 2 L ,50.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
68,69,KRİSTAL RİVİERA ZEYTİNYAĞI 5 L TENEKE ,109.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
69,70,KRİSTAL SIZMA ZEYTİNYAĞI 1 L CAM ŞİŞE ,36.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
70,71,KRİSTAL SIZMA ZEYTİNYAĞI 2 L ,66.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
71,72,KRİSTAL SIZMA ZEYTİNYAĞI DOLGUN GÜÇLÜ LEZ 1 LT CAM ,29.9,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
72,73,KRİSTAL SIZMA ZEYTİNYAĞI DOLGUN GÜÇLÜ LEZZET 2 LT ,58.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
73,74,KRİSTAL SIZMA ZEYTİNYAĞI DOLGUN GÜÇLÜ LEZZET 4 LT ,107.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
74,75,KRİSTAL SIZMA ZEYTİNYAĞI YUMUŞAK DOĞAL LEZZET 3 LT ,92.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
75,76,MONINI BEYAZ TRÜFLÜ ZEYTİNYAĞI 250 ML ,31.95,0.08,Monini,Sıvı Yağ,Türkiye,2020-01-01
76,77,NAR AYDIN MEMECİK ORGANİK NATUREL SIZMA ZEYTİNYAĞI 500 ML ,41.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
77,78,NAR AYVALIK ERKEN HASAT SIZMA ZEYTİNYAĞI 500 ML ,29.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
78,79,NAR FESLEĞEN ÇEŞNİLİ ZEYTİNYAĞI 200 ML ,19.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
79,80,NAR LİMON ÇEŞNİLİ ZEYTİNYAĞI 200 ML ,19.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
80,81,NAR NATUREL SIZMA ZEYTİNYAĞI AYVALIK 500 ML ,41.95,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
81,82,SIRMA NATUREL SIZMA ZEYTİNYAĞI  1 LT ,17.75,0.08,Kristal,Sıvı Yağ,Türkiye,2020-01-01
82,83,SIRMA NATUREL SIZMA ZEYTİNYAĞI 2 LT ,34.95,0.08,Sırma,Sıvı Yağ,Türkiye,2020-01-01
83,84,SIRMA RİVİERA  ZEYTİNYAĞI 1 LT ,15.95,0.08,Sırma,Sıvı Yağ,Türkiye,2020-01-01
84,85,SIRMA RİVİERA ZEYTİNYAĞI 2 LT ,29.9,0.08,Sırma,Sıvı Yağ,Türkiye,2020-01-01
85,86,TARİŞ AIVALY NATUREL SIZMA ZEYTİNYAĞI 500 ML ,38.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
86,87,TARİŞ ALFA EOLIO ZEYTİNYAĞ 500 ML ,37.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
87,88,TARİŞ ALFA MOSKONISI ZEYTİNYAĞI 500 ML ,37.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
88,89,TARİŞ ERKENCE SIZMA ZEYTİNYAĞI 500 ML ,41.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
89,90,TARİŞ GÜNEY EGE NATUREL SIZMA ZEYTİNYAĞI 3 L ,84.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
90,91,TARİŞ GÜNEY EGE NATUREL SIZMA ZEYTİNYAĞI 750 ML ,26.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
91,92,TARİŞ GÜNEY EGE SIZMA ZEYTİNYAĞI  2 L ,64.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
92,93,TARİŞ GÜNEY EGE SIZMA ZEYTİNYAĞI 1 L ,33.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
93,94,"TARİŞ GÜNEY EGE SIZMA ZEYTİNYAĞI 2 LT 0,5 ASİT ",75.9,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
94,95,"TARİŞ KİDONİA SIZMA ZEYTİNYAĞI 0,3 500 ML. ",39.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
95,96,TARİŞ NATUREL BİRİNCİ ZEYTİNYAĞI 2 L ,64.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
96,97,TARİŞ NATUREL BİRİNCİ ZEYTİNYAĞI 500 ML KERAMİK ŞİŞE ,31.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
97,98,TARİŞ NATUREL BİRİNCİ ZEYTİNYAĞI 750 ML ,26.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
98,99,TARİŞ NATUREL SIZMA ZEYTİNYAĞI 500 ML ,39.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
99,100,TARİŞ NATUREL SIZMA ZEYTİNYAĞI SPREY ŞİŞE 150 ML ,15.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
100,101,"TARİŞ OLGUNCA NATUREL SIZMA ZEYTİNYAGI 0,5 500 ML. ",39.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
101,102,TARİŞ RİVİERA ZEYTİNYAĞI 1 L TENEKE ,28.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
102,103,TARİŞ RİVİERA ZEYTİNYAĞI 2 L TENEKE ,53.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
103,104,TARİŞ RİVİERA ZEYTİNYAĞI 3 L ,77.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
104,105,TARİŞ RİVİERA ZEYTİNYAĞI 5 L TENEKE ,109.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
105,106,TARİŞ RİVİERA ZEYTİNYAĞI 750 ML ( CAM ŞİŞE ) ,22.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
106,107,TARİŞ SIZMA ZEYTİNYAĞI 1 L TENEKE ,38.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
107,108,TARİŞ SIZMA ZEYTİNYAĞI 2 L TENEKE ,73.5,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
108,109,TARİŞ SIZMA ZEYTİNYAĞI 2.0 500 ML ( CAM ŞİŞE ) ,33.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
109,110,TARİŞ SIZMA ZEYTİNYAĞI 750 ML ( CAM ŞİŞE ) ,29.95,0.08,Tariş,Sıvı Yağ,Türkiye,2020-01-01
110,111,TEOFARM NATUREL SIZMA ZEYTİNYAĞI 500 ML ,23.95,0.08,Teofarm,Sıvı Yağ,Türkiye,2020-01-01
111,112,YUDUM EGEMDEN RİVİERA ZEYTİNYAĞI 1 L ,28.5,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
112,113,YUDUM EGEMDEN RİVİERA ZEYTİNYAĞI 2 L ,48.95,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
113,114,YUDUM EGEMDEN RİVİERA ZEYTİNYAĞI 5 L TENEKE ,109.95,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
114,115,YUDUM EGEMDEN SIZMA ZEYTİNYAĞI YOĞUN LEZZET 1 L ,34.5,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
115,116,YUDUM EGEMDEN SIZMA ZEYTİNYAĞI YOĞUN LEZZET 2 L ,61.5,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
116,117,YUDUM EGEMDEN SIZMA ZEYTİNYAĞI YOĞUN LEZZET 5 L TENEKE ,124.95,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
117,118,YUDUM EGEMDEN SIZMA ZEYTİNYAĞI YUMUŞAK LEZZET 1 L ,32.95,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
118,119,YUDUM EGEMDEN SIZMA ZEYTİNYAĞI YUMUŞAK LEZZET 2 L ,58.95,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
119,120,YUDUM EGEMDEN SIZMA ZEYTİNYAĞI YUMUŞAK LEZZET 5 L TENEKE ,117.95,0.08,Yudum,Sıvı Yağ,Türkiye,2020-01-01
120,121,KOMİLİ MISIR YAĞI 1 L ,8.5,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
121,122,KOMİLİ MISIR YAĞI 2 L ,16.5,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
122,123,KOMİLİ MISIR YAĞI 5 L TENEKE ,30.95,0.08,Komili,Sıvı Yağ,Türkiye,2020-01-01
123,124,SALAT MISIRYAĞI 1 LİTRE ,7.95,0.08,Salat,Sıvı Yağ,Türkiye,2020-01-01
124,125,SALAT MISIRYAĞI 2 LT PET ,12.25,0.08,Salat,Sıvı Yağ,Türkiye,2020-01-01
125,126,SALAT MISIRYAĞI 5 LİTRE ,27.45,0.08,Salat,Sıvı Yağ,Türkiye,2020-01-01
126,127,SIRMA MISIR YAĞI 1 L ,8.9,0.08,Sırma,Sıvı Yağ,Türkiye,2020-01-01
127,128,SIRMA MISIR YAĞI 2 L ,16.9,0.08,Sırma,Sıvı Yağ,Türkiye,2020-01-01
128,129,SIRMA MISIR YAĞI 5 L TENEKE ,31.9,0.08,Sırma,Sıvı Yağ,Türkiye,2020-01-01
129,130,BEYPİ PİLİÇ IZGARA KANAT KG ,20.99,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
130,131,BEYPİ TABAKLI PİLİÇ FLETO KG ,13.45,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
131,132,BEYPİ TABAKLI SOSLU BUT PİRZOLA ,16.99,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
132,133,BEYPİ TABAKLI SOSLU IZGARA KANAT KG ,21.99,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
133,134,BEYPİLİÇ BÜYÜK TABAKLI PİLİÇ BUT IZGARA KG ,20.9,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
134,135,BEYPİLİÇ POŞETLİ BÜTÜN PİLİÇ ,8.75,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
135,136,BEYPİLİÇ TABAKLI BAGET KG ,12.99,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
136,137,BEYPİLİÇ TABAKLI BUT PİRZOLA KG ,15.99,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
137,138,BEYPİLİÇ TABAKLI PİLİÇ CİĞER ,8.99,0.08,Beypiliç,Et Ürünleri,Türkiye,2020-01-01
138,139,CP BÜYÜK TABAKLI PİLİÇ BAGET KG ,12.99,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
139,140,CP BÜYÜK TABAKLI PİLİÇ BİFTEK KG ,20.9,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
140,141,CP BÜYÜK TABAKLI PİLİÇ KANAT KG ,20.99,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
141,142,CP BÜYÜK TABAKLI PİLİÇ PİRZOLA KG ,15.99,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
142,143,CP POŞETLİ PİLİÇ KG ,8.75,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
143,144,CP PİLİÇ NUGGET 270 GR ,5.95,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
144,145,CP PİLİÇ ÇITIRIM 225 GR ,3.95,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
145,146,CP PİLİÇ ÇITIRIM ACILI 225 GR ,3.95,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
146,147,CP PİLİÇ ÇITIRIM BARBEKÜ SOSLU 225 GR ,3.95,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
147,148,CP PİLİÇ ŞİNİTZEL 300 GR ,5.95,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
148,149,CP TABAKLI PİLİÇ FLETO KG ,13.45,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
149,150,GREEN RANCH TABAKLI BÜTÜN PİLİÇ KG ,16.9,0.08,CP Piliç,Et Ürünleri,Türkiye,2020-01-01
150,151,HASTAVUK  PİLİÇ BUT KG ,8.9,0.08,Hastavuk,Et Ürünleri,Türkiye,2020-01-01
151,152,HASTAVUK PİLİÇ BUT IZGARA  KG ,20.9,0.08,Hastavuk,Et Ürünleri,Türkiye,2020-01-01
152,153,HASTAVUK PİLİÇ BUT PİRZOLA  KG ,15.99,0.08,Hastavuk,Et Ürünleri,Türkiye,2020-01-01
153,154,HASTAVUK PİLİÇ IZGARA KANAT KG ,20.99,0.08,Hastavuk,Et Ürünleri,Türkiye,2020-01-01
154,155,KESKİNOĞLU BÜYÜK TABAKLI PİLİÇ BUT PİRZOLA KG ,15.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
155,156,KESKİNOĞLU BÜYÜK TABAKLI PİLİÇ IZGARA KANAT KG ,20.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
156,157,KESKİNOĞLU BÜYÜK TABAKLI PİLİÇ KALÇA ŞİŞ KG ,20.9,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
157,158,KESKİNOĞLU KASAP KÖFTE 400 GR ,6.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
158,159,KESKİNOĞLU NAGET 300 GR ,3.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
159,160,KESKİNOĞLU PİLİÇ ARNAVUT CİĞERİ 260 GR ,4.49,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
160,161,KESKİNOĞLU PİLİÇ BUFFALLO WINGS 450 GR ,5.95,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
161,162,KESKİNOĞLU PİLİÇ CORDON BLEU 300 GR ,6.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
162,163,KESKİNOĞLU PİLİÇ KEBAP 400 GR ,4.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
163,164,KESKİNOĞLU PİLİÇ KROKET 400 GR ,6.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
164,165,KESKİNOĞLU PİLİÇ KÖFTE 260 GR ,4.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
165,166,KESKİNOĞLU SALAMLI PİLİÇ CORDON BLEU 300 GR ,6.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
166,167,KESKİNOĞLU TABAKLI BAGET 750 GR ,9.95,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
167,168,KESKİNOĞLU TABAKLI BUT PİRZOLA 750 GR ,12.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
168,169,KESKİNOĞLU TABAKLI IZGARA KANAT 750 GR ,15.99,0.08,Keskinoğlu,Et Ürünleri,Türkiye,2020-01-01
169,170,ORVITAL ORGANİK BÜTÜN PİLİÇ KG ,29.9,0.08,Orvital,Et Ürünleri,Türkiye,2020-01-01
170,171,ŞENPİLİÇ BÜYÜK TABAKLI IZGARA KANAT KG ,20.99,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
171,172,ŞENPİLİÇ BÜYÜK TABAKLI PİLİÇ BAGET KG ,12.99,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
172,173,ŞENPİLİÇ BÜYÜK TABAKLI PİLİÇ BONFİLE KG ,13.45,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
173,174,ŞENPİLİÇ BÜYÜK TABAKLI PİLİÇ IZGARA TAVA KG ,20.9,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
174,175,ŞENPİLİÇ BÜYÜK TABAKLI PİLİÇ PİRZOLA KG ,15.99,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
175,176,ŞENPİLİÇ POŞETLİ BÜTÜN PİLİÇ KG ,8.75,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
176,177,ŞENPİLİÇ PİLİÇ NUGGET 240 GR ,3.1,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
177,178,ŞENPİLİÇ PİLİÇ ŞİNİTZEL 190 GR ,3.45,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
178,179,ŞENPİLİÇ TABAKLI PİLİÇ KALÇALI BUT KG ,8.9,0.08,Şenpiliç,Et Ürünleri,Türkiye,2020-01-01
179,180,*MİGROS SÜT 1000 ML ,2.0,0.08,migros,Süt,Türkiye,2020-01-01
180,181,*MİGROS SÜT 200 ML ,0.65,0.08,migros,Süt,Türkiye,2020-01-01
181,182,*MİGROS YAĞSIZ SÜT 1000 ML ,2.45,0.08,migros,Süt,Türkiye,2020-01-01
182,183,ALPELLA SÜT 200 ML ,1.15,0.08,alpella,Süt,Türkiye,2020-01-01
183,184,ALPRO BADEM SÜTÜ 1 L ,16.9,0.08,Alpro,Süt,Türkiye,2020-01-01
184,185,ALPRO FINDIK SÜTÜ 1 L ,12.75,0.08,Alpro,Süt,Türkiye,2020-01-01
